COMMENT;VALUE
Ih jangankan loging ulang, gabisa dibuka apk nya;POSITIF
Parah nih apk padahal saya udh vaksin tpi sertifikat nya disini ga muncul pdhl udh bener ngisi datanya;POSITIF
Sangat membantu;POSITIF
Tidak bisa lihat sertivikat faksin;POSITIF
Sangat membantu;POSITIF
Mudah di akses, good job;POSITIF
sangat membantu;POSITIF
Bagus sekali;POSITIF
Skrng kebnyakn minta perbaharui;POSITIF
Bagus bgt infonya.👍👍👍😊😊😊;POSITIF
Tolong perbaikin aplikasinya saya suda berkali2 logout namin nga bisa masukan nomornynya ngada respon padahal saya lagi butu aplikasi ini buat sekola.;POSITIF
Aplikasi pedulindungi tidak bisa dibuka;POSITIF
Sangat membantu dlm bidang kesehatan, operasionalnya cukup mudan;POSITIF
Aplikasi nya sering bermasalah Pas mau klaim sertifikat vaksin kenapa gak pernah bisa;POSITIF
Sertifikat tidak muncul;POSITIF
Sangat setuju adanya aplikasi PeduliLindungi dalam mempercepat pengecekan status sertifikat vaksin korona di bandara Sehingga tidak terjadi antrian untuk kelanjutan di loket check in penerbangan;POSITIF
Aplikasinya makin jelek parah;POSITIF
Lebih bagus aplikasi sebelum update, pengisian data lagi terlalu bertele tele, tidak praktis. Nyesel up date. Terima kasih;POSITIF
Oke Terima kasih;POSITIF
App untuk kesehatan yg bagus;POSITIF
Tampil cepat atas info yang di butuhkan;POSITIF
"Kemarin Seharusnya saya vaksin ke2 tapi tidak bisa karna di aplikasi pedulilindungi nya tiketnya bertulisan ""tiket vaksin booster"". Dan akhirnya saya tidak jadi vaksin. Jadi sekarang saya harus gimana?";POSITIF
ngga dpt snack;POSITIF
Aplikasi dipersulit biar disuruh vaksin lagi karena bukti sertifikat vaksin ga muncul,modus korupsi;POSITIF
masuk mall aman skrg;POSITIF
Aplikasinya sangat bagus dan baik. Sangat mudah digunakan. Maju terus Indonesia.;POSITIF
Setiap mau pake harus di perbaharui sial;POSITIF
Aplikasi nya bagus;POSITIF
Sekarang kok jd jelek bed aplikasinya, susah bangeť scan Code QR, gagal trs, kdg sampe hrs 10x baru bisa, hari ini malah sampe lama ge gagal bae. Ngak ky dulu lg, dulu skali scan lsg ok, berhasil. Skrg bikin susah, pdhl kmn2 kudu scan qr;POSITIF
Sangat membantu;POSITIF
Udah jelas2 saya sudah vaksin lengkap . Tp malah gada bukti apapanya di aplikasi ini !! Gimana sih !!;POSITIF
Sangat bagus dan membantu...;POSITIF
Pelayanan saat saya vaksin 👍👍;POSITIF
Sy vaksin dr tgl 17 juni hari jumat smpai skr sertivikatnya belum keluar,chat ke wa nya juga centang satu,klik klaim di aplikasinya juga eror, ini gmn???;POSITIF
Aplikasi sering minta update..tidak simple.;POSITIF
masih banyak bug;POSITIF
Sangat membantu;POSITIF
Mau update ga bisa2..sertifikat sudah diunduh ndak tau kesimpan dimana yg di unduh itu😁di galery gak ada..saya mau print sertifikat vaksinnya☹;POSITIF
Lemot banget dan ngga bisa buka ehac;POSITIF
Ok & baik apk nya..👍🙏;POSITIF
Smoga nga harus di perbaharui terus..soalnya jarang beli kuota;POSITIF
Mantab skali;POSITIF
Luar biasa.klo hilang y d buka aj disini;POSITIF
Aplikasi yg membantu;POSITIF
Tolong di perbaiki setiap buka tidak bisa tertulis harus diperbaharui tapi tidak di tanggapi terus;POSITIF
Baik dan bagus;POSITIF
Saya mau cek sertivikat vaksin kok gak bisa ya, Aplikasinya yang rusak apa gimana ya???;POSITIF
Catatan vaksin terekam baik;POSITIF
Saya sudah vaksinnke 3 ( boster ) mhn dong buktinya ,mksh;POSITIF
Saran untuk apknya Untuk keterdiaan rs.yang non COVID to long di aktifkan kenapa Klo Cari selalu Tidak Ada. Pdhal itu sangat membantu untuk kesehatan Seumpma membutuhkan Rs bisa lngsung lihat ketersediaanya.to long apk ini di jadikan satu pintu untuk kesehatan.mungkin nanti bisa ditambahkan PMI ketersediaan darah.atau mungkin konsultasi dokter,atau yang lain.Untuk RSnya ketersediannya yang non COVID. saling melengkapi di bidang kesehatan.Terima kasih;POSITIF
Di upgret mulu mau nya;POSITIF
Mohon kepada yang bersangkutan kenapa kalo saya scan di mall di tempat pembelajan kok lama yah scan yah nunggu 1 menit baru bisa masuk mohon yah atas nama kevin;POSITIF
Sertifikat V3 tidak muncul, minta penjelasan ke petugas hanya di pingpong.. Virus nyusahin orang namanya ini;POSITIF
Sangat di butuhkan;POSITIF
Aplikasi parah ga bisa buka kartu vaksin amburadul;POSITIF
kalau saya seorang TKI di hongkong bagaimana saya bisa download peduli lindungi? Karna saya mau pulang ke indonesia;POSITIF
Minta di update Mulu cuma aplikasi begini ge, ribet. Cuma fungsi buat scanbarcode doang ge.;POSITIF
mantap ni aplikasi,;POSITIF
udah booster dari tanggal 11 mei 2022, tapi sampe sekarang sertifikatnya belum muncul²😪;POSITIF
Aplikasi sudah diperbaiki dan lumayan bagus serta efisien 🙏;POSITIF
Terus ajaaaaaaaaaaaaaaaaa perbarui!!!!!;POSITIF
Cukup membantu cm kalo bs sedikit di perbaiki fiturnya;POSITIF
Appnya makin lma makin susah pake'nya, makin sulit juga terbuka loading😬;POSITIF
Mari kita sukseskan program pemerintah demi kebaikan, kenyamanan, kesehatan, kesejahteraan kita bersama;POSITIF
Tolong di upgrade masa mau unduh sertifikat aja ga bisa;POSITIF
Sangat bagus dan bermanfaat. Good;POSITIF
min kenapa aplikasinya kalo mau di pake kok disuruh update terus ya min?;POSITIF
Sedia payung senelum hujan;POSITIF
Bagus sekali aplikasi ini;POSITIF
Sangat bermanfaat;POSITIF
Cukup baik sekali .....semoga kedepan lebih baik sekali;POSITIF
Minta update Mulu..sekarang malah ga bisa masuk..;POSITIF
Aplikasi Sangat berguna sekali;POSITIF
Mengapa saya tidak bisa login, setiap login user not found;POSITIF
Pilihan bahasa diperbaiki segera, mulai beberapa hari gak ada perbaikan, masak klik pilihan bahasa inggris tiba² out sendiri.;POSITIF
Tidak bisa melindungi data pemakai. Tidak ada pengaturan tambahan, dll;POSITIF
Sangat membantu Sekali;POSITIF
Lebih semangat pemakaian masker kedepan;POSITIF
Kenapa di ram 2 ko ga bsa di downlod ya?? Padahal udh bnyak aplikasi yg dihapus ttep ga kompatibel.;POSITIF
Sekarang sudah bisa di update aplikasinya, dan sangat membantu sekali. terimakasih;POSITIF
Sangat bermanfaat..👍👍;POSITIF
Ga jelas..baru di ufdate minta lagi;POSITIF
Abis update malah gabisa checkin;POSITIF
Bintang yg ngomong👎 sertifikatku yg faksin kedua hilang 🤦 parahj;POSITIF
bagus sekali;POSITIF
Mendapat informasi yang gak ada di akun lain;POSITIF
prcuma.dan tak berguna sertifikat banyak yg gk timbul.udh pake cara apapun sama aj hasil ny gk ada sertifikat.;POSITIF
aplikasi pemerintah pasti ga ada yang baku, cuma terpaksa aja punya biar ga dipersulit;POSITIF
Aplikasi Negara kok ribet gini,semua data udah lengkap kode verifikasinya gk di kirim.;POSITIF
Semakin update semakin ribet;POSITIF
Aplikasi yang sangat memaksaaa.;POSITIF
Kenapa susah sekali memasukkan foto profil;POSITIF
Kadang ga bisa scan dan kebukanya lama;POSITIF
Mau daftarnya susah bertele tele payah;POSITIF
Terlalu sering di perbaharui,;POSITIF
Keren aplikasinya,krj tiap hri scan cr code;POSITIF
Apk ini sangat bagus untuk melihat sertifikat vaksin juga jadi gampang pokoknya mah bagus deh;POSITIF
Agak sedikit ribet;POSITIF
Gak jelas INTINYA;POSITIF
Sangat membantu;POSITIF
Hrs update teruus siih... sementara jaringan lemoot;POSITIF
sangt baguss dan menbantuu;POSITIF
Saya sangat suka aplikasi ini;POSITIF
Sertifikat g ada fitur save sertifikat;POSITIF
Jelek masa udah vaksin 2x gak ada sertifikat nya;POSITIF
Sangat buruk, aplikasinya bertele-tele ga memudahkan sama sekali malah ngebuat jadi makin ribet. Update terus tpi ga ada perubahan yg signifikan. Ini toh hasil aplikasi yg ngegunain anggaran pemerintah.;POSITIF
Sangat memudahkan kami dlm setiapp aktifitas kami diluar rumah.;POSITIF
Eh iya dih masa g bisa dibuka seertipilatnye najong ini apanan kita butu buat masuk kerja, tolong dong benerin gmn ni suka nyusahin kalo dibutuhin manaan ntr belon booster. Benerin gc penting bakal kerja woy;POSITIF
Sangat membantu;POSITIF
Susah bgt sih masuk ny,gk bisa2 7d seminggu;POSITIF
Kurang memuaskàn jelek apknya;POSITIF
Bagus cukup membantu mempermudah informasi;POSITIF
Mungkin lebih baik seperti dulu tidak ada batasan untuk claim sertifikat. Sekarang hanya bisa 6 untuk 1 akun.;POSITIF
Apa manfaat Vaksin Booster apa sertifikat nya;POSITIF
Sangat tidak bagus sy sudah mengisi tanggal vaksin sy tpi di bilang salah tanggal;POSITIF
Semoga dpt sehat sll untuk kita semua;POSITIF
Terima kasih telah membantu;POSITIF
Kalau tidak bisa membuat aplikasi yang bener, ga usah bikin aplikasi deh, aplikasi bikin ribet, selalu minta di upgrade tapi ga ada perubahan. Tiap masuk ke aplikasi kok kebijakan mulu tulisannya...june 2022,aplikasi sudah ga ribet seperti awal.;POSITIF
Ribet sllu minta update...;POSITIF
Belum mendapatkan jadwal untuk vaksin. Tolong dibantu yang belum mendapatkan vaksin;POSITIF
Membantu sangat;POSITIF
Terima Kasih Ya Gan;POSITIF
"Jangan update"" terus, tampung dlu semuanya ktitik dan sarannya, semua perbaikan dan update di akhir tahun atau 2 tahun sekali, masa blom lama update udah update lg, ribet uy mau di pake harus update dlu😶";POSITIF
Minta perbaharui terus tpi gak ada perubahan... !!!!;POSITIF
Setelah di update kenapa gambar sertifikat saya yg muncul jadi besar ukurannya??hanya terlihat nama dan tanggal lahir saja..nyesal update kl begini jd gk bs diprint jadikan kartu;POSITIF
Saya tidak bisa nge klaim sertifikat, membuat tggl lahir dan tahun ribet bener di aplikasi;POSITIF
Layanan cukup bagus;POSITIF
Masa ia tiap Minggu harus update;POSITIF
Menu pilih tanggal lahirnya dirubah lah, pegel tanganku mencetin tanda panah sampai tanggal yang sesuai, bukanya mempermudah malah mempersulit;POSITIF
Sangat dibutuhkan;POSITIF
Sangat bermanfaat;POSITIF
Aplikasi berguna tapi malah tidak berguna, karena 1. Gue udah isi lengkap tinggal nunggu kode nya malah nggak muncul muncul, 2.aplikasi nya kalau isi tanggal lahir harus ulang dari awal. boro boro gue download buang buang waktu aja;POSITIF
Pembaruan ko tiap bulan,;POSITIF
Adanya aplikasi peduli lindungi sangat membantu dlm segala hal informasi.;POSITIF
Keseringan update terus..terus..;POSITIF
Sangat membantu;POSITIF
Bgus dan akurat;POSITIF
Sangat membantu;POSITIF
"Lanjutkan semakin baik.. BIar Dunia Tahu ""SIAPA KITA""";POSITIF
aplikasi kaga jelas temen² pada muncul sertifikat vaksin ketiga padahal belum vaksin, pilih kasih nih aplikasi najisss;POSITIF
Sering trouble... Tp sangat dibutuhkan;POSITIF
Sangat membantu;POSITIF
Ko sekarang ga bisa di unduh certivikatnya ... Haduuhh;POSITIF
Aplikasi apa ini gak jelas;POSITIF
Aplikasi publik seluruh indonesia tp parah kya jadul bgt masa saya lahir thn 1930 harus di tekan 1 per 1 yg bkin aplikasi otaknya bermasalah kali ya;POSITIF
Kacau serifikat vaksin saya ga muncul 1-3;POSITIF
Koq ga bs buka sertifikat vaksin knp ini;POSITIF
Loading aplikasi sangat lama padahal internet stabil;POSITIF
Sangat bermanfaat;POSITIF
Aplikasinya sangat bermanfaat;POSITIF
Bagus selalu memperbaharui sesuai gengan perkembangan tehnologi.;POSITIF
Alaahhh....Mending buka browser. Bertele-tele;POSITIF
tolong di perbaiki sistemnya,sudah 2 minggu sy tidak bisa login,setiap buka apk ini selalu ada tulisan perbaharui dan tidak terima kasih.tapi setiap di pilih yg perbaharui selalu gagal/tidak bisa.padahal jaringan bagus 4G,kuota jg masih ada(di atas 5GB)sy sangat butuh apk ini karena pekerjaan sy yg keluar masuk tempat tempat tertentu yg mengharuskan scan barcode apk ini;POSITIF
Diminta untuk memperbaharui aplikasi saat ingin membuka ternyata saat diperbaharui nggak bisa terus hanya muter aja dan lemot banget... Ngapain sih ribet amat nggak usah diperbaharui lah kalau emang sistem belum mendukung;POSITIF
Mendukung sekali;POSITIF
Sangat membantu dalam mengenai informasi;POSITIF
Bagus buat di jalan;POSITIF
Percuma vaksin kalau bukti atau sertifikat nya tidak ada 🤮 dari bulan oktober;POSITIF
Pembaruan mulu dah kadang eror;POSITIF
Disiruh perbaharui, tpi giliran mo diperbaharui g bisa;POSITIF
BEKERJA DENGAN BAIK;POSITIF
Insya Allah, program ini berguna untuk masyarakat byk;POSITIF
updatenya susah bolak nalik gagal;POSITIF
ga updated kenapa nih?;POSITIF
Sangat bermanfaat Sekali;POSITIF
Gangerti semakin di perbarui semakin ga bisa ngapa-ngapain ini aplikasi;POSITIF
Maaf lagi sibuk kepengen di sayang vaksin ku;POSITIF
Kenapa saya kasih bintang 1,anda pasti taulah;POSITIF
Aplikasi di update bukan tambah bagus tpi malah sering erorr dan dikit² minta di perbaharui.;POSITIF
Pada saat aplikasi peduli dibuka muncul tulisan utk diperbaharui, tp setelah klik perbaharui tidak bisa karena muter2 trs, saya coba uninstal hasil sama juga. Tolong infony lusa saya ada penerbangan apakah dgn print out vaksin ke3 bs jd syarat utk penerbangan. Di bagian bawah ada tulisan aplikasi beta saat ini sudah penuh.. apa artinya? Terima kasih;POSITIF
Aplikasi memuakkan, minta pembaruan melulu kalau bkn tuntutan kerja sdh ku hapus ini aplikasi.;POSITIF
Buat buka hasil tes pcr tidak ada terus .;POSITIF
Mudah dan praktis;POSITIF
Update mulu dah😑😑;POSITIF
Sertifikasi vaksin saya tdk muncul. Dosis 1 hilang dan Dosis 2 jadi dosis 1 itu gimana;POSITIF
Sangat membantu kita;POSITIF
Cukup membantu;POSITIF
Lemootttt aplikasi nya;POSITIF
Semoga berguna bagi kita semua;POSITIF
Tisak bisa download karena hp pakai android 5.1;POSITIF
Sangat membantu;POSITIF
Tolong untuk sistem pengaturan tanggal dirubah, karna melakukan pemencetan pada kalender butuh waktu yang cukup lama;POSITIF
bagus jadi masyarakat beraktivitas masuk ke mal kemana jadi gampang ngk ribet karena ada pedulilindungi jdi ama kalo kemana mana;POSITIF
Ini bug atau gimana ya? Saya blm vaksin booster, baru niat doang pengen booster tpi sertifikatnya udh keluar;POSITIF
Sangat bagus jd kita dpt menjaga kesehatan kita;POSITIF
Lagi lagi perbarui hadeh pusing dah;POSITIF
Syarat mutlak bepergian.tolong di hapus klo sudah normal;POSITIF
Sulit jika ingin scan barcode peduli lindungi, selalu gagal;POSITIF
luar biasa mantap;POSITIF
Sering minta update ,Padahal masuk kerja harus chek in dulu ,;POSITIF
Mintak diperbarui..tapi gak bisa di update...instal....masalahnya apa ya....paket data saya ada koutanya...gak ngerti saya....mohonn penjelasanya;POSITIF
update terooooossssss,,,, bikin ribet kalo pas lagi buru2 dan harus scan barcode;POSITIF
kadang kalo dibutuhin tiba tiba harus update dan bikin lama keperluan;POSITIF
Saya baru aja upgrade,tp knp vaksin ke3 gk muncul.pdhal saya sudah vaksin ke3. Lalu serifikat vaksin juga skrg udh gk muncul.aplikasinya jdi membingungkan;POSITIF
Sekarang terlalu sering banyak pembaharuan yg gak penting. Dan klo gk diperbarui gak bisa dipake.;POSITIF
Aplikasi nya lemot;POSITIF
Kenapa sy gk bisa d dowload ulang y;POSITIF
Game yang seru, tetapi alangkah lebih seru jika hero Alucard dihapus dan juga map vikendi yang memiliki banyak bug.;POSITIF
Selalu akurat Najadih;POSITIF
Menyenangkan;POSITIF
Berguna agar bisa cek setiap hari;POSITIF
Sering minta di perbaharui...tapi kenapa saat di perbaharui susah kalau tidak di perbaharui tidak mau muncul.....;POSITIF
Sangatvtdk bagus;POSITIF
Kalau 1 nomor di pakai 2 atau 3 orang lebih bisa ga ya?, Sama saya ga bisa ngisi tanggal lahir, bulan sama tahun tidak bisa di simpan, bagaimana ini, padahal aplikasinya peduli lindungi di haruskan download kalau masuk keluar mall, tolong di perbaiki secepatnya dong biar bisa;POSITIF
Membantu permudah syarat perjalann;POSITIF
Aplikasi seperti tidak d urus sama sekali, padahal ini aplikasi d butuhkan bahkan syarat dari negara jika mau ke luar kota PAYAH;POSITIF
Kenapa yah sertipikat paksin boostee koh belum masuk ke akun saya trimakasih;POSITIF
Aplikasi nya Jelek bangeeeet Tanggal lahir nya nggak bisa langsung di tuju,. Harus pencet ganti tanggal pelan2 Membuang banyak waktu;POSITIF
Masih banyak bug ga bisa check in;POSITIF
Perasaan minta diperbarui mulu aplikasi nya baru sebulan memperbarui ini harus memperbarui lagi;POSITIF
Tolong dong apk nya di benerin mau liat sertifikat jadi gk bisa nih, lagi penting gini malah gk bisa di gunain, dah gitu lemot, udh di update tetep aja gk bisa di akses;POSITIF
Minta update tapi diupdate tidak bisa terus;POSITIF
Setelah di update aplikasi malah gabisa dibukaaa.... Dibersihkan cache juga gabisa.... .sertfikat juga ga kluar keluar.. Kontak email pedulilindungi juga diabaikan.. Bad apps :(;POSITIF
Saran Buat pengembang Aplikasi ini. Kalo bisa untuk lebih memudahkan pengecekan sertifikat kalau bisa hanya dengan memasukkan NIK dan Nama Saja.;POSITIF
Sangat baik sekali;POSITIF
Sangat membantu;POSITIF
Terlalu sering update ya .... 2minggu lalu saya disuruh update , udah di update nih , skrg minta update lagi .... Hmmmmmm;POSITIF
Mantab banyak peningkatan;POSITIF
Bagus Tapi gak bisa di perbaharui;POSITIF
Praktis dlm pengecekkan data vaksin utk perjalanan;POSITIF
Perjalan jadi mudah dengan peduli lindungi;POSITIF
Sangat membantu;POSITIF
Mohon aplikasinya di perbaiki lagi;POSITIF
Semenjak di update mlah jelek, lemot;POSITIF
Setiap buka minta update.. sampah bener yg buat update aplikasi ini..;POSITIF
Mantap sangat membanTu;POSITIF
Sulit buat upt;POSITIF
Suruh diperbarui,,tpi giliran diperbaruhi ngga bisa gm sih,,🤦🤦;POSITIF
Sangat berguna untuk keamanan dan kenyamanan;POSITIF
Jelek banget luh;POSITIF
Selalu minta update terus. Heran.;POSITIF
Aplikasi ga berguna sama sekali;POSITIF
Maksudnya apa yaaa ... tiap minggu harus update itupun susah ... bukan mempermudah tp mempersulit aja ...;POSITIF
Aplikasi sejenis pemaksaan dan mantau gerak2 keberadaan sseorang dimanapun berada, APLIKASI Sangat sangat tidak berguna d perbaharui terusss......;POSITIF
Aplilasi ini sangat bagus dan mudah di buka.;POSITIF
setiap mau pake aplikasi ini selalu minta pembaruan, giliran di update eror, dan ahirnya perjalanan naik krl pun tertunda alias gagal karena updatenya cuman muter doang padahal data masih 45GB,;POSITIF
keseringan minta di update, bikin ribet;POSITIF
Aplikasi memaksaaaaa;POSITIF
Kebnyakn update gila aplikasi;POSITIF
Maksig gara2 ini aku bisa masuk ke malll deh;POSITIF
Ribet harus update dan gk bagus,,,.. Pemakainya karena terpaksa;POSITIF
Perasaan sudah di update, kok disuruh update terus sih??? Harusnya update ya setidaknya 3bln sekali, atau 6 bln sekali. Gak semua hp memiliki ram bagus;POSITIF
Perbaruiiiiij terusses;POSITIF
Aplikasi yg selalu dan selalu minta update tolong lah yah kami punya ponsel punya memory ram itu berbeda beda;POSITIF
Terbukti sah;POSITIF
Akhirnya sudah menamatkan game ini;POSITIF
Dunia percaturan politik bisnis memang banyak liku liku,,,corona pembualan....;POSITIF
Aplikasi update mulu dah..klo ga updet malah ga bisa buka app..padahal cuma btuh untuk scan qr saja🙈;POSITIF
Trus aja dsruh update... Kesan nya memaksa;POSITIF
Setiap mau buka harus selalu update pembaruan.memaksa sekali ini aplikasi;POSITIF
Hampir tiap hari update Bikin emosi;POSITIF
Aplikasi nya kurang, masa harus perbaruhi terus isi data dri awal lg yampun;POSITIF
Aplikasi memksa pengguna untuk update, padahal lgi urgent bikin lama doang, lemot;POSITIF
Maksa banget untuk update😪😪;POSITIF
Update mulu ini aplikasi. Hampir tiap minggu update. Ribet kalo mau naik kereta. Lg buru² malah suruh update;POSITIF
Kenapa ilang sertifikat vaksiny😔;POSITIF
Kenapa setiap buka appk tidak mau masuk dan terhenti sendiri...;POSITIF
Jaga selalu kesehatan yang utama;POSITIF
Sangat ribet ketika memasukan tgl lahir.tolong di benahi mencari tahun lahirnya biar tdk bertele tele tekan button;POSITIF
Tiap bulan minta update terusss bosen jadinya;POSITIF
PeduliLindungi .. semoga segera normal kembali .. aamiin .. Tanya Admin, untuk vaksinasi boster Apakah muncul secara otomatis??? (Vaksinasi sinovac sudah 2 kali)..;POSITIF
Setelah diupdate malah eror, waktu buka sertifikat vaksin nya malah gambarnya gak jelas dan setifikatnya gabisa di unduh, padahal udah vaksin;POSITIF
Kalau nggak update ngak bisa dibuka;POSITIF
Terlalu sering up date ribet;POSITIF
Ah, entahlah...;POSITIF
Pelayanan baik;POSITIF
Gara² ini aplikasi input data dosis kedua saya tidak ada dan saya gagal vaksin booster ketiga;POSITIF
Sangat membantu;POSITIF
masak minta di update terus capek bgt;POSITIF
Semangat semangat Oke oke Semangat semangat Oke oke;POSITIF
Aplikasi buat update aja susah.;POSITIF
Mantap, tapi belum hisa didonlot apl peduli lindunginya;POSITIF
Minta diupdate tapi gak bisa,dihapus download ulang malah gak bs lg download;POSITIF
Aplikasi masak 1 bulan 2 kali pembaruan. Kadang lemot. Mau gak mau harus di download karena wajib di perusahaan saya. Kesannya memaksa jadinya;POSITIF
Trim Sangat Berguna;POSITIF
Sudah vaksin dosis pertama, mau vaksin dosis kedua tapi DO (drop out) kembali vaksin dosis pertama agar bulan depan bisa mengikuti vaksin dosis kedua, sesudah vaksin dosis kedua sertifikat vaksin yang nongol dosis pertama semua, tidak ada sertifikat vaksin dosis kedua, aplikasi tidak berguna, aplikasi sangat buruk.;POSITIF
Tiap pakai disuruh perbaharuin Tiap pakai disuruh perbaharui;POSITIF
Curang gk hoki;POSITIF
Mantaff dan bermanfaat;POSITIF
Loading lama sekali;POSITIF
Lemot. Perbarui terus. Jd lama saat mau scan barcode. Pdhl gak pemting2 amat toh. Mall jg udh bnyak gk maksa buat scan kok. Ini transportasi masih aja beginian scan2. Sampai ketinggalan! GAK GUNA. MERUGIKAN PUBLIK!;POSITIF
Saya mau bertanya, aplikasi PL istri saya tdk bisa terbuka, lalu di uninstal lalu kembali di instal knp tidak bisa yaa, dan itu trjdi juga di ponsel org tua saya.. apa yg hrs di lakukan ya? Krn sgt2 mengganggu aktivitas istri dan org tua saya. Mohon di jawab.;POSITIF
INI APLIKASI CUMAN BUAT SCAN BARCODE DOANG JADI GK USAH BANYAK UPDATE BIKIN RIBET;POSITIF
Update trs gajelas udh ada vaksin juga;POSITIF
Terlalu sering update..;POSITIF
Bagus tapi mgkin saya yang gk mengerti cek nya..tapi ok;POSITIF
Baik untuk kesehatan;POSITIF
Aplikasinya terkesan memaksa seperti yg sya alami sya mau download tapi hape saya tidak mendukung padahal kemarin sdh didownload otomatis ke hapus, padahal hape sya android aplikasi yg lain bisa download juga;POSITIF
Bagus bermanfaat .banget ihk😍;POSITIF
Tidak ada manfaat ...;POSITIF
Update mulu.. Ribet masuk mall 😒😒😒😒;POSITIF
Bagus sangat membantu.. tidak ribet harus bawa kartu vaksin;POSITIF
Setiap x buka Maksa banget updat lagi updat lagi,;POSITIF
Pembaruin mulu;POSITIF
Ribet minta update terus;POSITIF
aplikasi yang memaksa pengguna harus update terus,, tidak semua orang punya hp android versi terbaru.. tolong diperbaiki sistemnya agar semua bisa menggunakannya;POSITIF
Sering pembaharuan knp ya;POSITIF
Terlalu sering update;POSITIF
Upgrade terusss sampai abis paket... Gi jelaass;POSITIF
Apl ini selalu maksa untuk di perharui ,pdhal baru 2 minggu yg lalu di perbaharui sekrang ada pembaruan lagi . Tolonglah mengerti hp aku tidak cukup memori untuk terus memperharui apl tiap 2 minggu sekali . Setidaknya tidak di perbaharuipun bisa di buka lah , ini mh harus di perbaharui baru bisa di buka 😑;POSITIF
Di haruskan update tapi gagal terus pakai data gagal pakai wifi juga sama susah dan mejengkelkan;POSITIF
sartifikat vaksin knp g ada.padahal.sudah vaksin;POSITIF
