COMMENT,VALUE
kemarin vaksin  karna aplikasi pedulilindungi nya tiket tulis tiket vaksin booster vaksin gimana,POSITIF
ngga dpt snack,POSITIF
aplikasi sulit biar suruh vaksin bukti sertifikat vaksin ga muncul modus korupsi,POSITIF
masuk mall aman skrg,POSITIF
aplikasi bagus mudah maju indonesia,POSITIF
pake baharu sial,POSITIF
aplikasi nya bagus,POSITIF
jd jelek bed aplikasi susah bange scan code qr gagal trs kdg sampe hrs  x sampe ge gagal bae ngak ky lg skali scan lsg ok hasil skrg bikin susah pdhl kmn  kudu scan qr,POSITIF
bantu,POSITIF
udah  vaksin lengkap tp gada bukti apapanya aplikasi gimana sih,POSITIF
bagus bantu,POSITIF
layan vaksin,POSITIF
sy vaksin dr tgl   juni jumat smpai skr sertivikatnya chat wa nya centang klik klaim aplikasi eror gmn,POSITIF
aplikasi update simple,POSITIF
bug,POSITIF
bantu,POSITIF
update ga  sertifikat unduh ndak tau simpan mana yg unduh galery gak print sertifikat vaksin,POSITIF
lot banget ngga buka ehac,POSITIF
ok apk nya,POSITIF
smoga nga baharu jarang beli kuota,POSITIF
mantab skali,POSITIF
klo hilang y d buka aj,POSITIF
aplikasi yg bantu,POSITIF
tolong baik buka tulis baharu tanggap,POSITIF
bagus,POSITIF
cek sertivikat vaksin gak ya aplikasi rusak gimana ya,POSITIF
catat vaksin rekam,POSITIF
vaksinnke   boster mhn bukti mksh,POSITIF
saran apknya dia rs non covid to long aktif klo cari pdhal bantu sehat seumpma butuh rs lngsung lihat ketersediaanya to long apk jadi pintu sehat pmi sedia darah konsultasi dokter rsnya dian non covid lengkap bidang sehat terima kasih,POSITIF
upgret mulu nya,POSITIF
mohon sangkut kalo scan mall bajan yah scan yah nunggu   menit masuk mohon yah nama kevin,POSITIF
sertifikat v  muncul jelas tugas pingpong virus nyusahin orang nama,POSITIF
butuh,POSITIF
aplikasi parah ga buka kartu vaksin amburadul,POSITIF
tki hongkong download peduli lindung karna pulang indonesia,POSITIF
update mulu aplikasi ge ribet fungsi scanbarcode doang ge,POSITIF
mantap ni aplikasi,POSITIF
udah booster tanggal   mei   sampe sertifikat muncul,POSITIF
aplikasi baik lumayan bagus efisien,POSITIF
ajaaaaaaaaaaaaaaaaa baru,POSITIF
bantu cm kalo bs baik fiturnya,POSITIF
appnya lma susah pake nya sulit buka loading,POSITIF
mari sukses program perintah baik nyaman sehat sejahtera,POSITIF
tolong upgrade unduh sertifikat aja ga,POSITIF
bagus manfaat good,POSITIF
min aplikasi kalo pake suruh update ya min,POSITIF
sedia payung senelum hujan,POSITIF
bagus aplikasi,POSITIF
manfaat,POSITIF
moga depan,POSITIF
update mulu ga masuk,POSITIF
aplikasi guna,POSITIF
login login user not found,POSITIF
pilih bahasa baik gak baik masak klik pilih bahasa inggris tiba out,POSITIF
lindung data pakai atur tambah dll,POSITIF
bantu,POSITIF
semangat pakai masker depan,POSITIF
ram   ko ga bsa downlod ya udh bnyak aplikasi yg hapus ttep ga kompatibel,POSITIF
update aplikasi bantu terimakasih,POSITIF
manfaat,POSITIF
ga ufdate,POSITIF
abis update gabisa checkin,POSITIF
bintang yg ngomong sertifikat yg faksin hilang parahj,POSITIF
bagus,POSITIF
informasi gak akun,POSITIF
prcuma guna sertifikat yg gk timbul udh pake apa aj hasil ny gk sertifikat,POSITIF
aplikasi perintah ga baku paksa aja biar ga sulit,POSITIF
aplikasi negara ribet gin data udah lengkap kode verifikasi gk kirim,POSITIF
update ribet,POSITIF
aplikasi memaksaaa,POSITIF
susah masuk foto profil,POSITIF
kadang ga scan buka,POSITIF
daftar susah tele tele payah,POSITIF
baharu,POSITIF
keren aplikasi krj hri scan cr code,POSITIF
apk bagus sertifikat vaksin gampang pokok mah bagus deh,POSITIF
ribet,POSITIF
gak inti,POSITIF
bantu,POSITIF
hrs update teruus siih jaring lemoot,POSITIF
sangt baguss menbantuu,POSITIF
suka aplikasi,POSITIF
sertifikat g fitur save sertifikat,POSITIF
jelek udah vaksin  x gak sertifikat nya,POSITIF
buruk aplikasi tele tele ga mudah ngebuat ribet update tpi ga ubah yg signifikan hasil aplikasi yg ngegunain anggar perintah,POSITIF
mudah dlm setiapp aktifitas luar rumah,POSITIF
eh iya dih g buka seertipilatnye najong apanan butu masuk kerja tolong benerin gmn ni suka nyusahin kalo dibutuhin mana ntr belon booster benerin gc kerja woy,POSITIF
bantu,POSITIF
susah bgt sih masuk ny gk   d minggu,POSITIF
memuask n jelek apknya,POSITIF
bagus bantu mudah informasi,POSITIF
batas claim sertifikat     akun,POSITIF
manfaat vaksin booster sertifikat nya,POSITIF
bagus sy isi tanggal vaksin sy tpi bilang salah tanggal,POSITIF
moga dpt sehat sll,POSITIF
terima kasih bantu,POSITIF
aplikasi bener ga bikin aplikasi deh aplikasi bikin ribet upgrade ga ubah masuk aplikasi bijak mulu tulis june   aplikasi ga ribet,POSITIF
ribet sllu update,POSITIF
jadwal vaksin tolong bantu vaksin,POSITIF
bantu,POSITIF
terima kasih ya gan,POSITIF
update tampung dlu ktitik saran baik update   blom update udah update lg ribet uy pake update dlu,POSITIF
baharu tpi gak ubah,POSITIF
update gambar sertifikat yg muncul ukur nama tanggal lahir nyesal update kl jd gk bs diprint jadi kartu,POSITIF
nge klaim sertifikat tggl lahir ribet bener aplikasi,POSITIF
layan bagus,POSITIF
minggu update,POSITIF
menu pilih tanggal lahir rubah gel tangan mencetin tanda panah tanggal sesuai buka mudah sulit,POSITIF
butuh,POSITIF
manfaat,POSITIF
aplikasi guna guna   gue udah isi lengkap tinggal nunggu kode nya nggak muncul muncul   aplikasi nya isi tanggal lahir ulang boro boro gue download buang buang aja,POSITIF
baru ko,POSITIF
aplikasi peduli lindung bantu dlm informasi,POSITIF
sering update,POSITIF
bantu,POSITIF
bgus akurat,POSITIF
bantu,POSITIF
lanjut biar dunia,POSITIF
aplikasi kaga temen muncul sertifikat vaksin tiga vaksin pilih kasih nih aplikasi najisss,POSITIF
trouble tp butuh,POSITIF
bantu,POSITIF
ko ga unduh certivikatnya haduuhh,POSITIF
aplikasi gak,POSITIF
aplikasi publik indonesia tp parah kya jadul bgt lahir thn   tekan     yg bkin aplikasi otak masalah kali ya,POSITIF
kacau serifikat vaksin ga muncul   ,POSITIF
koq ga bs buka sertifikat vaksin knp,POSITIF
loading aplikasi internet stabil,POSITIF
manfaat,POSITIF
aplikasi manfaat,POSITIF
bagus baharu sesuai geng kembang tehnologi,POSITIF
alaahhh mending buka browser tele tele,POSITIF
tolong baik sistem   minggu sy login buka apk tulis baharu terima kasih pilih yg baharu gagal jaring bagus  g kuota jg  gb sy butuh apk kerja sy yg masuk yg harus scan barcode apk,POSITIF
baharu aplikasi buka baharu nggak muter aja lot banget ngapain sih ribet nggak baharu emang sistem dukung,POSITIF
dukung,POSITIF
bantu informasi,POSITIF
bagus jalan,POSITIF
vaksin bukti sertifikat nya oktober,POSITIF
baru mulu dah kadang eror,POSITIF
disiruh baharu tpi gilir mo baharu g,POSITIF
,POSITIF
insya allah program guna masyarakat byk,POSITIF
updatenya susah bolak nalik gagal,POSITIF
ga updated nih,POSITIF
manfaat,POSITIF
gangerti baru ga ngapa ngapain aplikasi,POSITIF
maaf sibuk ken sayang vaksin ku,POSITIF
kasih bintang   tau,POSITIF
aplikasi update bagus tpi erorr dikit baharu,POSITIF
aplikasi peduli buka muncul tulis utk baharu tp klik baharu muter  trs coba uninstal hasil tolong infony lusa terbang dgn print out vaksin  bs jd syarat utk terbang tulis aplikasi beta penuh terima kasih,POSITIF
aplikasi muak baru melulu bkn tuntut kerja sdh ku hapus aplikasi,POSITIF
buka hasil tes pcr,POSITIF
mudah praktis,POSITIF
update mulu dah,POSITIF
sertifikasi vaksin tdk muncul dosis   hilang dosis   dosis   gimana,POSITIF
bantu,POSITIF
bantu,POSITIF
lemootttt aplikasi nya,POSITIF
moga guna,POSITIF
tisak download hp pakai android   ,POSITIF
bantu,POSITIF
tolong sistem atur tanggal rubah karna pencet kalender butuh,POSITIF
bagus masyarakat aktivitas masuk mal mana gampang ngk ribet pedulilindungi jdi ama kalo mana,POSITIF
bug gimana ya blm vaksin booster niat doang ken booster tpi sertifikat udh,POSITIF
bagus jd dpt jaga sehat,POSITIF
baru hadeh pusing dah,POSITIF
syarat mutlak pergi tolong hapus klo normal,POSITIF
sulit scan barcode peduli lindung gagal,POSITIF
mantap,POSITIF
update masuk kerja chek in,POSITIF
mintak baru gak update instal ya paket data koutanya gak ngerti mohonn jasa,POSITIF
update terooooossssss bikin ribet kalo pas buru  scan barcode,POSITIF
kadang kalo dibutuhin update bikin perlu,POSITIF
aja upgrade tp knp vaksin  gk muncul pdhal vaksin  serifikat vaksin skrg udh gk muncul aplikasi jdi bingung,POSITIF
baharu yg gak klo gk baru gak dipake,POSITIF
aplikasi nya lot,POSITIF
sy gk d dowload ulang y,POSITIF
game seru alangkah seru hero alucard hapus map vikendi milik bug,POSITIF
akurat najadih,POSITIF
senang,POSITIF
guna cek,POSITIF
baharu baharu susah baharu muncul,POSITIF
sangatvtdk bagus,POSITIF
  nomor pakai     orang ga ya ga ngisi tanggal lahir simpan aplikasi peduli lindung harus download masuk mall tolong baik cepat biar,POSITIF
bantu mudah syarat perjalann,POSITIF
aplikasi d urus aplikasi d butuh syarat negara kota payah,POSITIF
yah sertipikat paksin boostee koh masuk akun trimakasih,POSITIF
aplikasi nya jelek bangeeeet tanggal lahir nya nggak langsung tuju pencet ganti tanggal pelan  buang,POSITIF
bug ga check in,POSITIF
asa baru mulu aplikasi nya bulan baru baru,POSITIF
tolong apk nya benerin liat sertifikat gk nih gin gk gunain dah gitu lot udh update tetep aja gk akses,POSITIF
update diupdate,POSITIF
update aplikasi gabisa dibukaaa bersih cache gabisa sertfikat ga kluar kontak email pedulilindungi abai bad apps,POSITIF
saran kembang aplikasi kalo mudah kece sertifikat masuk nik nama,POSITIF
,POSITIF
bantu,POSITIF
update ya  minggu suruh update udah update nih skrg update hmmmmmm,POSITIF
mantab tingkat,POSITIF
bagus gak baharu,POSITIF
praktis dlm ecek data vaksin utk jalan,POSITIF
jalan mudah peduli lindung,POSITIF
bantu,POSITIF
mohon aplikasi baik,POSITIF
semenjak update mlah jelek lot,POSITIF
buka update sampah bener yg update aplikasi,POSITIF
mantap bantu,POSITIF
sulit upt,POSITIF
suruh baru tpi gilir baruh ngga gm sih,POSITIF
guna aman nyaman,POSITIF
jelek banget luh,POSITIF
update heran,POSITIF
aplikasi ga guna,POSITIF
maksud yaaa minggu update itu susah mudah tp sulit aja,POSITIF
aplikasi jenis paksa mantau gerak  ada sseorang mana aplikasi guna d baharu terusss,POSITIF
aplilasi bagus mudah buka,POSITIF
pake aplikasi baru gilir update eror ahirnya jalan krl tunda alias gagal updatenya cuman muter doang data  gb,POSITIF
sering update bikin ribet,POSITIF
aplikasi memaksaaaaa,POSITIF
kebnyakn update gila aplikasi,POSITIF
maksig gara  masuk malll deh,POSITIF
ribet update gk bagus maka paksa,POSITIF
asa update suruh update sih update ya  bln   bln gak hp milik ram bagus,POSITIF
perbaruiiiiij terusses,POSITIF
aplikasi yg update tolong yah ponsel memory ram beda beda,POSITIF
bukti sah,POSITIF
tamat game,POSITIF
dunia catur politik bisnis liku liku corona bual,POSITIF
aplikasi update mulu dah klo ga updet ga buka app btuh scan qr,POSITIF
trus aja dsruh update kesan nya paksa,POSITIF
buka update baru paksa aplikasi,POSITIF
update bikin emosi,POSITIF
aplikasi nya baruh isi data dri lg yampun,POSITIF
aplikasi memksa guna update lgi urgent bikin doang lot,POSITIF
maksa banget update,POSITIF
update mulu aplikasi minggu update ribet kalo kereta lg buru suruh update,POSITIF
ilang sertifikat vaksiny,POSITIF
buka appk masuk henti,POSITIF
jaga sehat utama,POSITIF
ribet pasu tgl lahir tolong benah cari lahir biar tdk tele tele tekan button,POSITIF
update terusss bosen,POSITIF
pedulilindungi moga normal aamiin admin vaksinasi boster muncul otomatis vaksinasi sinovac   kali,POSITIF
diupdate eror buka sertifikat vaksin nya gambar gak setifikatnya gabisa unduh udah vaksin,POSITIF
nggak update ngak buka,POSITIF
up date ribet,POSITIF
ah,POSITIF
layan,POSITIF
gara aplikasi input data dosis gagal vaksin booster tiga,POSITIF
bantu,POSITIF
masak update capek bgt,POSITIF
semangat semangat oke oke semangat semangat oke oke,POSITIF
aplikasi update aja susah,POSITIF
mantap hisa didonlot apl peduli lindung,POSITIF
diupdate gak hapus download ulang gak bs lg download,POSITIF
aplikasi masak     kali baru kadang lot gak download wajib usaha kesan paksa,POSITIF
trim guna,POSITIF
vaksin dosis vaksin dosis do drop out vaksin dosis ikut vaksin dosis vaksin dosis sertifikat vaksin nongol dosis sertifikat vaksin dosis aplikasi guna aplikasi buruk,POSITIF
pakai suruh perbaharuin pakai suruh baharu,POSITIF
curang gk hoki,POSITIF
mantaff manfaat,POSITIF
loading,POSITIF
lot baru jd scan barcode pdhl gak pemting  mall jg udh bnyak gk maksa scan transportasi aja scan  tinggal gak rugi publik,POSITIF
aplikasi pl istri tdk buka uninstal instal knp yaa trjdi ponsel org tua yg hrs laku ya krn sgt  ganggu aktivitas istri org tua mohon,POSITIF
aplikasi cuman scan barcode doang gk update bikin ribet,POSITIF
update trs gajelas udh vaksin,POSITIF
update,POSITIF
bagus mgkin gk erti cek nya ok,POSITIF
sehat,POSITIF
aplikasi kes paksa yg sya alami sya download hape dukung kemarin sdh didownload otomatis hapus hape sya android aplikasi yg download,POSITIF
bagus manfaat banget ihk,POSITIF
manfaat,POSITIF
update mulu ribet masuk mall,POSITIF
bagus bantu ribet bawa kartu vaksin,POSITIF
x buka maksa banget updat updat,POSITIF
pembaruin mulu,POSITIF
ribet update,POSITIF
aplikasi paksa guna update orang hp android versi baru tolong baik sistem guna,POSITIF
baharu knp ya,POSITIF
update,POSITIF
upgrade terusss abis paket gi jelaass,POSITIF
apl maksa haru pdhal   minggu yg baharu sekrang baru tolong erti hp memori haru apl   minggu baharu buka mh baharu buka,POSITIF
harus update gagal pakai data gagal pakai wifi susah mejengkelkan,POSITIF
sartifikat vaksin knp g vaksin,POSITIF
baru hp baru pakai baru ulang ulang,POSITIF
minggu update piye iki,POSITIF
payahh  update aplikasi cari duit aja,POSITIF
banyak update gk jelass,POSITIF
aplikasi gk dikit  update ribet masuk mall,POSITIF
bikin ribet jalan,POSITIF
update nya sering mending klo skip,POSITIF
update,POSITIF
gk update yah sdh   hari update gagal,POSITIF
dokumen kait lokasi sehat,POSITIF
buka apk pedulilindungi baharu,POSITIF
aplikasi kaga,POSITIF
baharu tp susah nya ampun muter tingkat donk pelayananya,POSITIF
aplikasi bikin ribet pas pakai ga baru bikin masuk kerja telat gara gara aplikasi,POSITIF
moga bagus layan,POSITIF
sertifikat vaksin muncul,POSITIF
update ya gessss,POSITIF
 sertifikat vaksin hilang suruh klaim lg,POSITIF
sering update,POSITIF
bagus deteksi ada,POSITIF
bantu jalan,POSITIF
aplikasi menyusakan rakyat aplikasi langgar hak privasi,POSITIF
mudah,POSITIF
paksa diupdte,POSITIF
banyak baru,POSITIF
aplikkasi paksa sllu baru klo gk dperbarui gk buka,POSITIF
aplikasi paksa ribet update,POSITIF
aplikasi cepat,POSITIF
sertipikat vaksin yg udah klaim gal muncul,POSITIF
update terus habis kuota update lemah aplikasi tolong baik donk,POSITIF
bagus apa ngeleg gimanapun buruk apa netizen indonesia jgn heran app plat merah jd bnyk minus nya jajajajaja,POSITIF
bantu,POSITIF
lindung covid   ayo mari ajak vaksin yg yg dosis     moga sehat amin,POSITIF
aplikasi buruk kalah aplikasi anak smp update,POSITIF
jgn diupgrate kalo pas buka org butuh cepat,POSITIF
nyesal aplikasi error,POSITIF
aplikasi baru kl ya tdk buka aplikasi paksa lot ampunnnn,POSITIF
jelek update trs,POSITIF
mantap akurat hadir pegawai,POSITIF
moga sehat hidup selahtera,POSITIF
bagus bantu aplikasi,POSITIF
bentar bentar update update update laaahhhh capeeee,POSITIF
tolong gimanaa suru baru gagal aja udh hapus aplikasi instal gak gimana solusi masuk krja cek in argghhh ruwet,POSITIF
upgrade mulu kocak,POSITIF
guna,POSITIF
apk nya parah sulit versi   bawah gabisa tolong bijaksana kelola apk pikirin orang versi android   karna orang tua kerja pake apk scan masuk terimakasih moga kelola apk solusi nya,POSITIF
tdk,POSITIF
aplikasi bikin capek,POSITIF
download besok udah suruh baru,POSITIF
susah akses,POSITIF
aplikasi baharu,POSITIF
maaf ribet banget suruh baru aplikasi peduli susah ampun deehh,POSITIF
bantu tp baru y suka nunggu nya klo dada,POSITIF
keyakian modal utama sembuh serta usaha maksimal yg kena cofid ,POSITIF
downlond aplikasi eh dosis ajah dosis dua gk peduli lindungih vaksin satu tolong iya dibenerin aplikasi,POSITIF
bingung ap app ne knpa sll diupdet terusss sebel,POSITIF
d suruh baharu d baharu tpi muter  aja yg tmen  jga gtu knpa,POSITIF
banget update fungsi utk masuk  aja ganggu klw update buru ,POSITIF
aplikasi skrg update,POSITIF
bosan ku buka aplikasi baru kesan kayak paksa banget,POSITIF
alhamdulillah bantu terimakasih,POSITIF
pusing tengok aplikasi update trus aja,POSITIF
manfaat,POSITIF
jgn update trs annoying memori gue abis cok,POSITIF
senang,POSITIF
tunda kalo update pdhl sinyal udah lancar udah  ,POSITIF
update gak buka,POSITIF
klaim sertifikat vaksin ko gagal mulu ya aneh udah kali coba aja gagal,POSITIF
koq baharu bget akfitas sy loading gimna sy otw t  krj nyata sy sulit program beta aplikasi penuh maksud,POSITIF
pas butuh baharu aplikasi,POSITIF
aplikasi tiada tanding sulit banyak fitur simple,POSITIF
paksa update   minggu tolong ruang   minggu update tolong,POSITIF
aplikasi bagus bilang aplikasi jelek bilang aplikasi maksa update aga ga waras kayak nama covidnya aktif ya updatelah,POSITIF
ga bagus abes pulo covid,POSITIF
downlood ulang,POSITIF
bentar  suruh baru mulu kalo buru  lenyap dollar kejap,POSITIF
baru kalo kali buka emang bikin aplikasi gimana sih bom   minggu baru suruh baru buka aplikasi aja ribet banget mending gak bikin aplikasi manual aja,POSITIF
upgrade,POSITIF
ntapslah kmna  bwa kartu vaksin,POSITIF
baru,POSITIF
bagus manfaat,POSITIF
simple tuntun dg,POSITIF
bantu,POSITIF
ya paksa komen bagus pakai aplikasi mana,POSITIF
payah diupgrade mulu huuuuh,POSITIF
vaksin lengkap tp sertivikat vaksin,POSITIF
mantap layan,POSITIF
tydack ramah hp kentang karen update ga,POSITIF
bantu,POSITIF
bantu,POSITIF
download paksa asli nya ogah klo gk sulit uris ktp lai wajib tunjuk hasil vaksin,POSITIF
banyak update,POSITIF
gara gara download app hape gua lot dagitu tele tele parah kalo ga butuh butuh mah beneran ogah download serius,POSITIF
appaan update lemotttt tolong ya masukin tanggal kaga bikin gampang geser ribet,POSITIF
baru jd ribet,POSITIF
apk negri ribet dikit  update ganggu bikin org kerja aja buka update mulu tlekk,POSITIF
update mulu kesel,POSITIF
baharu lot downloadnya,POSITIF
suruh update ga update,POSITIF
banyak baru udah vaksin   terang apk nya danck,POSITIF
update tamabah susah isi tanggal lahir ribet pas versifikasi robot kacau ulang  trus sampe   kali jga gak eror,POSITIF
capek update,POSITIF
aduh tlg baik apk buka update udh tau mana pake apk tp performa ga dukung doang kasus,POSITIF
update susah,POSITIF
wajib update ga,POSITIF
cek sertifikat dosis   aja gak update bolak cek gak sertifikat tekan bantu gak ngatasi gak pilih dosis   nya dosis   dosis   dosis   nyaaaaaaaaaaaa gak opsi nya,POSITIF
baru,POSITIF
taiiii update truss bikin paket abissss,POSITIF
vaksin data aplikasi peduli lindung gak tau gimana sertifikat vaksin  ,POSITIF
aplikasi gak ngasi pilih susah,POSITIF
upgrade trus payah,POSITIF
aplikasi gak mutu gak manfaat gak,POSITIF
sehat indah rezeki,POSITIF
gak nampilkan kartu vaksin,POSITIF
nyaman dikit baru,POSITIF
sertif gak,POSITIF
buka aplikasi suruh update,POSITIF
baik tpi baru ya,POSITIF
mudah,POSITIF
apk maksa bgt update,POSITIF
updatenya peduli lindunginy praktis,POSITIF
paksa update,POSITIF
baru suruh apdete apdete suruh apdete,POSITIF
nge update mulu tele tele,POSITIF
banyak baharu,POSITIF
update guna kaga,POSITIF
bantu update y bgt meste d apdate bikin pusing aja,POSITIF
unduh sertifikat who g jalan,POSITIF
bantu ribet praktis,POSITIF
tunjang,POSITIF
yg kuat,POSITIF
aplikasi baru knp sih,POSITIF
ngisi tanggal lahir manuaaaaaaaaalllll bangeeeeeeeet woooooooooyyyyyu bikin pr gimana sistem inputnya kug manual bangeeeeet shetaaaaaan emang,POSITIF
baharu tp ga,POSITIF
bantu duluu,POSITIF
mudah,POSITIF
gin kalo kali buka update ni app gak baik kalo udah update udah gitu sering ngerti ya,POSITIF
kasi bintang   apl nya bagus bangeeeeet,POSITIF
terima kasih bagus,POSITIF
aplikasi peduli lindung inti rupiah d ajak miskin,POSITIF
klo mall pke peduli lindung pke asa keren,POSITIF
baharu terossss,POSITIF
aplikasi kk baharu trs paksa,POSITIF
busa identitas,POSITIF
burukk cepett banget update,POSITIF
baru,POSITIF
masukin data anggota keluarga koq ga,POSITIF
sagat bantu,POSITIF
dah apk ngga sebenernya dipake aja tempat,POSITIF
bagus banget apl,POSITIF
update mlu gajelas,POSITIF
aplikasi paksa kalo gak update gak pakai,POSITIF
update lodingnya ngak selesai salah y pakai bagus,POSITIF
minggu baharu aja,POSITIF
baru terima kasih ministry or health republice of indonesia terima kasih pedulilindungi krl masuk mall prj hihi terima kasih,POSITIF
lemooooottttt banget udah   ga buka parah,POSITIF
aplikasi nya moga bantu mudah,POSITIF
mantaap info bagus,POSITIF
pake hars update aja,POSITIF
lengkap sgt manfaat,POSITIF
aplikasi pake apdett,POSITIF
kelar nyeken kovid udh kelar,POSITIF
update maksa orang lg tempat dsruh scan hrs nunggu update dlu yg tdinya pgn cepat jdi lambattt,POSITIF
gak ngabisin kuota orang miskin kaya,POSITIF
aplikasi mem bantu terima kasih,POSITIF
baru,POSITIF
instal langsung baru nyari untung banget korupsi sampe apk apk nya,POSITIF
data pribadi ngk aman jual data gara gara aplikasi,POSITIF
manfaat masarakat sehat sekian trima kasih,POSITIF
update mulu ribet nyusahin aja,POSITIF
suruh update mulu sebenernya tuh scan doang gak fitur,POSITIF
skrng susah d afdet,POSITIF
maksa update,POSITIF
ga jlas pungsi ny dah da sertivikat ny,POSITIF
ngk update ya,POSITIF
moga manfaat,POSITIF
bgss dn aman bawa mana,POSITIF
aplikasi gk bner baru baru gak muter tulisanya tunda,POSITIF
apknya susah suruh update gilir udah update gak login desak,POSITIF
apk gak update trus,POSITIF
sering suruh update minim      minggu update,POSITIF
maksa bgt update,POSITIF
informasi bagus,POSITIF
ribet baharu trus,POSITIF
aplikasi yah,POSITIF
muas,POSITIF
terima kasih peduli lindung,POSITIF
update gajelas,POSITIF
nyusahin pas buka tetep baharu kalo gak gak buka,POSITIF
bosan suruh update kerja banget,POSITIF
bantu denhan aplikasi peduli lindung,POSITIF
akses,POSITIF
update coba bikin vitur download sertifikat vaksin akses pas jaring susah kadang tunjukkin sertifikat vaksin kalo jaring batas,POSITIF
bikin ribet update trus,POSITIF
aplikasi ko nya,POSITIF
update banget hadeuh,POSITIF
aplikasi privasi,POSITIF
jaga sehat,POSITIF
sip terimakasih,POSITIF
baru melulu cuk,POSITIF
suruh update aplikasi na,POSITIF
upgrade,POSITIF
aplikasi ga update ga,POSITIF
aplikasi update yah,POSITIF
update ga gw hapus download ulang ga,POSITIF
sgt perdah dlm jalan,POSITIF
diupdate knp update mulu,POSITIF
sip bagus manfaat,POSITIF
aneh buka aplikasi suruh update melulu,POSITIF
aplikasi gajelas gara gara update sertifikat dosis   ilang pas klaim error asw,POSITIF
aplikasi bagus yg izin orang masuk mall,POSITIF
suka aplikasi,POSITIF
nyaman skalen,POSITIF
knp d update mulu si d update aja susah ampun heran bgt,POSITIF
baik ,POSITIF
jelek  baru buka prbarui an apk paksa,POSITIF
,POSITIF
update mulu cape,POSITIF
aplikasih nya bagus,POSITIF
manfaat,POSITIF
update ganggu pas scan masuk antri,POSITIF
sebal,POSITIF
baru,POSITIF
top deh,POSITIF
update apps sulit masyarakat,POSITIF
baharu terussss udh ky copid ajeee,POSITIF
aplikasi paksa update buka,POSITIF
maksa utk update udah gitu lot,POSITIF
mantap smg smkn maju sehat indonesia,POSITIF
klaim sertifikat gak dah d coba ber kali kali klaim ,POSITIF
knpa gk bsa baharu,POSITIF
bagus banget bug nya hilang lancar,POSITIF
aplikasi diinstal,POSITIF
aplikasi duh bantu,POSITIF
